2751414	2293422	2
6563988	4600724	2
4392334	2786637	2
4949109	7507	1
6210217	3942749	1
6706357	3848691	1
5575553	5052429	2
5985952	5121833	2
3241047	3011589	2
3164576	1313945	1
6405903	2734484	1
2539427	73560	1
2196795	2173770	2
3307935	2882759	2
8223699	2171083	1
262653	109123	1
5788790	309512	1
6152864	4656816	2
9501444	4840835	1
6319398	5983936	1
4156820	2299907	1
2956212	733625	1
3306619	3216112	2
4059597	296926	1
7534611	5387727	2
3255221	2414475	2
4251209	655173	1
5086488	3233483	2
2383579	2008982	2
5806681	145267	1
3948228	3799167	2
8648165	1534993	1
2852912	1522292	1
4540488	747475	1
8849381	3003234	1
6237567	4091180	2
2845936	1906731	2
3118317	3087061	2
1203461	1119073	2
209714	101882	1
5094223	512527	1
8662486	8391198	2
7713311	6689358	2
6065708	1576280	1
4820783	4597611	2
3613776	1094151	1
2754129	1257939	1
5494507	1502535	1
3412895	2990296	2
3577282	3416089	2
7307560	158008	1
2235125	331161	1
8509054	2510046	1
6694129	416405	1
5839698	4798714	2
92442	57182	2
4519902	2153675	1
9963282	378158	1
416415	50960	1
1557230	1420293	1
6024939	5923823	2
1085744	1027189	2
4258856	376544	2
8659665	3312446	1
7317975	276669	1
6930835	4416360	2
4163514	4093692	2
1107224	115297	1
5947582	5703032	2
4315735	1092442	1
2043759	1478093	2
4842556	933827	1
8546309	1223693	1
1791174	161030	1
5320237	4378445	2
1044632	606078	1
3679189	2571477	2
8243868	6375943	2
3553339	931644	1
3015031	3007211	2
8295853	6509381	1
8491632	2740887	2
5472821	2145360	1
4048687	735735	1
9379546	5932591	2
5739587	2675379	1
4269775	1552136	1
7250368	2850324	1
6130200	348461	1
8967872	2046846	1
5735331	2264474	1
9701199	4506273	1
1011001	308567	1
9483971	2690893	1
6785473	523729	1
5404253	650588	1
2736659	2558942	2
162489	72774	1
9880609	7757432	2
5572907	1385357	1
7640061	1581097	1
6949210	5234115	2
1493165	182448	1
551767	294609	1
8368946	4596722	1
9761481	5948667	2
2401904	2298809	2
7516843	6658968	2
8633105	8249128	2
1463496	1402691	2
1778812	387099	1
3383657	1558203	1
9738621	8143893	2
5071411	145961	1
8131808	6292188	2
1693024	1002789	2
3229887	2962357	2
1733953	1515121	2
960869	148080	1
4714374	1012419	1
8866588	6737995	2
369861	190676	2
5347348	2180473	1
