8736311	4863330	1
405779	131594	1
2542082	542573	1
504933	429906	2
573985	554517	2
6900928	49825	1
3234271	73075	1
854827	643637	2
9329554	345617	1
5300784	2558126	1
2234932	1787940	2
2821215	2127345	2
3229673	456908	1
5239022	1215086	1
3983269	3521562	2
2125595	212026	1
5620926	4164632	2
9243969	2646392	1
8005397	6841348	2
3420359	487501	1
740493	427319	1
7917668	2136305	1
1719422	507648	1
2945518	874361	1
1019116	574388	1
2947532	2147941	2
1775777	1125024	2
4851158	3518102	2
9968929	466603	1
5412811	95325	1
3109784	565110	1
3320055	312341	1
6092549	668136	1
5127364	125526	1
7997211	144272	1
5057684	2753903	1
6560476	3274761	1
8802488	2268617	1
9596575	5086281	1
5499750	971881	1
552690	447105	2
5749908	164686	1
8631152	8007811	2
5138755	2017950	1
355917	105583	1
3188556	761818	1
8853928	8585115	2
1035207	666978	2
766307	519750	2
6379478	3242378	1
2835587	2349915	2
2953201	1511238	1
1862527	1123654	2
5303964	4894920	2
1572526	1100243	2
1821822	688226	1
9533067	7100181	2
1953442	1367286	2
9101906	3780343	1
6428571	7181	1
6904168	4334244	2
3177831	322299	1
6088653	5875601	2
5944663	4815932	2
7089246	3069632	1
8395867	2347489	1
4400783	440290	1
8979418	3703083	1
7949560	7759925	2
3244933	2228778	2
4574569	97430	1
1623740	24500	1
4083617	2637768	2
4273388	1718803	1
7906767	218907	1
8017655	5277934	2
2659359	295753	1
8754618	8696898	2
7237980	680975	1
1565076	651391	1
3946344	3821309	2
6059847	2313935	1
4964013	4940304	2
1759312	967972	1
2937999	1739219	2
1669429	690009	1
8207724	3055665	1
4768015	239499	1
2402256	1450542	2
5265047	2734082	1
3221672	2171818	2
7613748	5091310	2
1051950	117356	1
1566225	218919	1
3610493	2957648	2
2840223	2435522	2
8047861	299750	1
9473697	9254980	2
2795733	2261133	2
5392764	568530	1
