1234477	287086	
1346392	649854	
433819	345663	
5881217	4284784	
7751160	1506948	
8573405	3445290	
8821885	5869118	
3344483	2575766	
7421730	5633533	
4541136	4505729	
5973112	4343505	
139259	83416	
1972483	1192630	
3448572	631538	
8705788	1118078	
4400451	1790075	
4678347	4011233	
703796	530436	
3907874	1270712	
3699283	836340	
5214589	701141	
7024951	2807531	
2528309	200665	
6529396	4136723	
3282189	1375925	
2093516	1493516	
6500742	5892899	
4911538	895193	
5521112	3302121	
5187214	2558933	
8471310	5326751	
7506108	5949435	
4289360	3641190	
5507079	1514484	
5580337	4006696	
9754389	2124236	
8735949	5825902	
9901814	3327374	
7328987	5639065	
9323571	398711	
5454673	960719	
5969428	349327	
9830175	1529916	
1626813	1477487	
6084404	1380975	
6686998	6212933	
5253025	1559707	
8064659	2316904	
3086768	2244713	
5910254	3182129	
6592342	840986	
6102918	5264477	
73185	68243	
4730086	1460336	
4884962	2492417	
7379189	2560151	
6821081	2744482	
1643535	589963	
7005974	1314599	
2690523	1190445	
5377545	3240822	
3210424	2218264	
5424455	463060	
647342	271801	
4781544	2101032	
7553289	7306722	
9562720	7951507	
8182601	1607496	
4141900	4079481	
5395343	2102984	
3446378	2411561	
2965938	2913429	
9640982	6275523	
2415170	2318746	
4111899	1060455	
8019597	1309067	
4795558	1344937	
1343141	475952	
3282438	2590132	
3388416	2361855	
9272548	3399266	
9844894	5787041	
3853610	2178445	
7004866	2023190	
6128368	2003805	
6979618	2933467	
2018790	1545270	
3801318	643551	
8456694	3077567	
7684048	7595362	
5894381	5553974	
5971083	1888567	
7815103	7403324	
2989856	2966381	
1970329	925885	
627262	544644	
4515395	1649701	
1274491	955199	
3573406	3376074	
662995	49571	
